[16:11:12] 142.250.70.35 -> 192.168.0.147 | UDP | 443 -> 61809
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 142.250.70.35 -> 192.168.0.147 | UDP | 443 -> 61809
[16:11:12] 142.250.70.35 -> 192.168.0.147 | UDP | 443 -> 61809
[16:11:12] 142.250.70.35 -> 192.168.0.147 | UDP | 443 -> 61809
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.147 -> 142.250.70.35 | UDP | 61809 -> 443
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.147 -> 142.250.70.35 | UDP | 61809 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.35 | UDP | 61809 -> 443
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 64117
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.147 -> 192.168.0.1 | TCP | 64117 -> 53
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 64117
[16:11:12] 192.168.0.147 -> 192.168.0.1 | TCP | 64117 -> 53
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 142.250.70.35 -> 192.168.0.147 | UDP | 443 -> 61809
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 51299
[16:11:12] 192.168.0.147 -> 192.168.0.1 | TCP | 51299 -> 53
[16:11:12] 192.168.0.147 -> 142.250.70.78 | UDP | 53184 -> 443
[16:11:12] 192.168.0.1 -> 192.168.0.147 | TCP | 53 -> 51299
[16:11:12] 142.250.70.78 -> 192.168.0.147 | UDP | 443 -> 53184
[16:11:12] 192.168.0.147 -> 192.168.0.1 | TCP | 51299 -> 53
[16:11:12] 192.168.0.147 -> 142.250.207.170 | UDP | 55340 -> 443
[16:11:12] 192.168.0.147 -> 142.250.207.170 | UDP | 55340 -> 443
